epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4846.79,0.94477,0.59379,1.11633,0.91119,0.87458,0.91019,0.6635,1.12649,0.71157,1.27746,0.0003235,0.0003235,0.0003235
43,4954.66,0.94327,0.5788,1.09909,0.91018,0.88253,0.92092,0.66843,1.12973,0.69816,1.28139,0.000307,0.000307,0.000307
44,5062.52,0.95578,0.58969,1.11452,0.90734,0.87044,0.91662,0.66607,1.14131,0.69963,1.30321,0.0002905,0.0002905,0.0002905
45,5171.56,0.92326,0.56535,1.09234,0.91086,0.8781,0.91288,0.6692,1.12498,0.70052,1.29051,0.000274,0.000274,0.000274
46,5279.29,0.91895,0.56627,1.09521,0.91356,0.87057,0.91631,0.66852,1.13231,0.70559,1.29429,0.0002575,0.0002575,0.0002575
47,5388.63,0.92625,0.5694,1.09518,0.90274,0.88439,0.91087,0.66538,1.12679,0.69986,1.29221,0.000241,0.000241,0.000241
48,5496.01,0.92263,0.55788,1.09581,0.90971,0.88459,0.91509,0.6728,1.11223,0.69667,1.27861,0.0002245,0.0002245,0.0002245
49,5603.24,0.9184,0.55562,1.09462,0.92041,0.8856,0.92182,0.67449,1.11613,0.67785,1.28065,0.000208,0.000208,0.000208
50,5710.18,0.9271,0.5626,1.09251,0.91064,0.88069,0.91595,0.67122,1.12003,0.67648,1.28296,0.0001915,0.0001915,0.0001915
51,5831.65,0.89191,0.50894,1.11492,0.90945,0.88216,0.91328,0.66893,1.12873,0.67849,1.30815,0.000175,0.000175,0.000175
52,5947.76,0.87787,0.49245,1.09342,0.91038,0.87974,0.91406,0.67275,1.10943,0.68239,1.28229,0.0001585,0.0001585,0.0001585
53,6061.89,0.87017,0.48316,1.09035,0.91864,0.87598,0.91753,0.6725,1.11373,0.68646,1.27976,0.000142,0.000142,0.000142
54,6174.84,0.86108,0.47975,1.08658,0.90799,0.88004,0.91371,0.6749,1.10297,0.68679,1.27514,0.0001255,0.0001255,0.0001255
55,6285.24,0.8591,0.47277,1.08298,0.91565,0.87578,0.91349,0.67321,1.1117,0.68279,1.2835,0.000109,0.000109,0.000109
56,6392.92,0.84465,0.46937,1.07943,0.90903,0.88197,0.91225,0.67422,1.10838,0.67527,1.28034,9.25e-05,9.25e-05,9.25e-05
57,6498.32,0.84322,0.46483,1.07299,0.91133,0.88337,0.91599,0.67695,1.10023,0.6675,1.27261,7.6e-05,7.6e-05,7.6e-05
58,6606.85,0.83698,0.45807,1.07169,0.90707,0.88488,0.91719,0.67686,1.10411,0.66686,1.2831,5.95e-05,5.95e-05,5.95e-05
59,6715.31,0.83984,0.46247,1.07365,0.91126,0.88193,0.91683,0.6788,1.09732,0.67019,1.27687,4.3e-05,4.3e-05,4.3e-05
60,6824.21,0.83694,0.45784,1.08067,0.91225,0.88365,0.91359,0.6786,1.09691,0.66816,1.27685,2.65e-05,2.65e-05,2.65e-05
